# Mechanical evidence only: generated from the default-disabled SM-2 link log after original-owner and C-VID closure.
# symbol<TAB>cmake_object_target<TAB>referencing_source
__declspec(dllimport) __sys_errlist
_NtQuerySymbolicLinkObject	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demerror.c.obj
_RtlAppendUnicodeToString	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demerror.c.obj
_RtlEqualUnicodeString	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demerror.c.obj
_CreateFileOem@28	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demfcb.c.obj
_DeleteFileOem@4	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demfcb.c.obj
_FindFirstFileOem@8	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demfcb.c.obj
_FindNextFileOem@8	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demfcb.c.obj
_MoveFileOem@8	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demfcb.c.obj
_SetFileAttributesOem@8	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demfcb.c.obj
__declspec(dllimport) _RtlProcessHeap@0	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demgset.c.obj
_GetComputerNameOem@8	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demgset.c.obj
_GetDiskFreeSpaceOem@20	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demgset.c.obj
_GetDriveTypeOem@4	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demgset.c.obj
_RtlDosPathNameToNtPathName_U	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demgset.c.obj
_RtlOemStringToUnicodeString	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demgset.c.obj
_nt_fdisk_close	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demioctl.c.obj
_nt_fdisk_read	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demioctl.c.obj
_nt_fdisk_write	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demioctl.c.obj
_nt_floppy_close	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demioctl.c.obj
_nt_floppy_read	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demioctl.c.obj
_nt_floppy_write	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demioctl.c.obj
_DbgPrompt	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_GetFullPathNameOem@16	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_HostFdiskReset	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_HostFloppyReset	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_IsFirstCall	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_ModuleFree	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_ModuleLoad	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_ModuleSegmentMove	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_pFDAccess	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_RcErrorDialogBox	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_VDDCreateUserHook	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demmisc.c.obj
_HostTerminatePDB	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_InitializeListHead	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_NtQueryDirectoryFile	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_NtVdmControl	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_RtlCompareUnicodeString	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_RtlCreateUnicodeString	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_RtlIsDosDeviceName_U	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_RtlUpcaseUnicodeStringToCountedOemString	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_VDDTerminateUserHook	ntdos64-opennt-dem-objects	base\mvdm\dos\dem\demsrch.c.obj
_GetVolumeInformationOem@32	ntdos64-opennt-dem-objects	overlay\base\mvdm\dos\dem\demfile.c.obj
_RemoveFontResourceOem@4	ntdos64-opennt-dem-objects	overlay\base\mvdm\dos\dem\demfile.c.obj
_cmdPipeFileDataEOF	ntdos64-opennt-dem-objects	overlay\base\mvdm\dos\dem\demhndl.c.obj
_cmdPipeFileEOF	ntdos64-opennt-dem-objects	overlay\base\mvdm\dos\dem\demhndl.c.obj
_config_get_active	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\diskbios.c.obj
_host_fdisk_rd	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\diskbios.c.obj
_host_fdisk_seek0	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\diskbios.c.obj
_host_fdisk_wt	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\diskbios.c.obj
_host_delays	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\fdisk.c.obj
_host_fdisk_get_params	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\fdisk.c.obj
_number_of_floppy	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\floppy.c.obj
_host_gfi_rdiskette_active	ntdos64-opennt-disks-provider-objects	base\mvdm\softpc.new\base\disks\gfi.c.obj
