"disposition_id"	"call_id"	"caller_path"	"caller_package"	"caller_line"	"lexical_callee"	"declaration_id"	"declaration_path"	"declaration_package"	"disposition"	"selected_definition_ids"	"owner"	"recovery_state"	"evidence"
"MVDM-BOUNDARY-00016"	"MVDM-CALL-001546"	"dos/command/cmdconf.c"	"dos"	"634"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdconf.c:634; inc/softpc.h:132"
"MVDM-BOUNDARY-00017"	"MVDM-CALL-001553"	"dos/command/cmdenv.c"	"dos"	"52"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdenv.c:52; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00018"	"MVDM-CALL-001593"	"dos/command/cmdenv.c"	"dos"	"224"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdenv.c:224; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00019"	"MVDM-CALL-001595"	"dos/command/cmdenv.c"	"dos"	"228"	"TerminateVDM"	"MVDM-DECL-00251"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09440;MVDM-DEF-09503;MVDM-DEF-10149"	"unreviewed"	"unreviewed"	"dos/command/cmdenv.c:228; inc/softpc.h:132"
"MVDM-BOUNDARY-00020"	"MVDM-CALL-001618"	"dos/command/cmdenv.c"	"dos"	"363"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdenv.c:363; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00021"	"MVDM-CALL-001630"	"dos/command/cmdenv.c"	"dos"	"459"	"malloc"	"MVDM-DECL-03345"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	""	"unreviewed"	"unreviewed"	"dos/command/cmdenv.c:459; softpc.new/base/inc/standard.h:83"
"MVDM-BOUNDARY-00022"	"MVDM-CALL-001754"	"dos/command/cmdexec.c"	"dos"	"441"	"nt_block_event_thread"	"MVDM-DECL-00244"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09143;MVDM-DEF-10139"	"unreviewed"	"unreviewed"	"dos/command/cmdexec.c:441; inc/softpc.h:36"
"MVDM-BOUNDARY-00023"	"MVDM-CALL-001759"	"dos/command/cmdexec.c"	"dos"	"453"	"nt_resume_event_thread"	"MVDM-DECL-00245"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09144;MVDM-DEF-10140"	"unreviewed"	"unreviewed"	"dos/command/cmdexec.c:453; inc/softpc.h:37"
"MVDM-BOUNDARY-00024"	"MVDM-CALL-001760"	"dos/command/cmdexec.c"	"dos"	"454"	"nt_std_handle_notification"	"MVDM-DECL-00046"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"MVDM-DEF-09406"	"unreviewed"	"unreviewed"	"dos/command/cmdexec.c:454; dos/command/cmd.h:255"
"MVDM-BOUNDARY-00025"	"MVDM-CALL-001766"	"dos/command/cmdexec.c"	"dos"	"480"	"nt_resume_event_thread"	"MVDM-DECL-00245"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"MVDM-DEF-09144;MVDM-DEF-10140"	"unreviewed"	"unreviewed"	"dos/command/cmdexec.c:480; inc/softpc.h:37"
