canonical_group_id	canonical_group_key	canonical_symbol	grouping_scope	group_kind	raw_identity_count	macro_generated_identity_count	raw_definition_ids	source_identities	dispositions
"MVDM-ZERO-CANONICAL-GROUP-007234"	"linkable:nt_v7vga_hi_graph_huge"	"nt_v7vga_hi_graph_huge"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009279"	"softpc.new/host/src/nt_vga.c:1523"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007235"	"linkable:nt_v7vga_hi_graph_std"	"nt_v7vga_hi_graph_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009277"	"softpc.new/host/src/nt_vga.c:1321"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007236"	"linkable:nt_v7vga_mono_hi_graph_big"	"nt_v7vga_mono_hi_graph_big"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009281"	"softpc.new/host/src/nt_vga.c:1617"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007237"	"linkable:nt_v7vga_mono_hi_graph_huge"	"nt_v7vga_mono_hi_graph_huge"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009282"	"softpc.new/host/src/nt_vga.c:1629"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007238"	"linkable:nt_v7vga_mono_hi_graph_std"	"nt_v7vga_mono_hi_graph_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009280"	"softpc.new/host/src/nt_vga.c:1604"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007239"	"linkable:nt_vga_frozen_pack_std"	"nt_vga_frozen_pack_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009284"	"softpc.new/host/src/nt_vga.c:1809"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007240"	"linkable:nt_vga_frozen_std"	"nt_vga_frozen_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009283"	"softpc.new/host/src/nt_vga.c:1664"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007241"	"linkable:nt_vga_graph_big"	"nt_vga_graph_big"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009260"	"softpc.new/host/src/nt_vga.c:156"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007242"	"linkable:nt_vga_graph_huge"	"nt_vga_graph_huge"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009261"	"softpc.new/host/src/nt_vga.c:276"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007243"	"linkable:nt_vga_graph_std"	"nt_vga_graph_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009259"	"softpc.new/host/src/nt_vga.c:59"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007244"	"linkable:nt_vga_hi_frozen_std"	"nt_vga_hi_frozen_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009286"	"softpc.new/host/src/nt_vga.c:2073"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007245"	"linkable:nt_vga_hi_graph_big"	"nt_vga_hi_graph_big"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009266"	"softpc.new/host/src/nt_vga.c:920"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007246"	"linkable:nt_vga_hi_graph_huge"	"nt_vga_hi_graph_huge"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009267"	"softpc.new/host/src/nt_vga.c:1079"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007247"	"linkable:nt_vga_hi_graph_std"	"nt_vga_hi_graph_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009265"	"softpc.new/host/src/nt_vga.c:808"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007248"	"linkable:nt_vga_med_frozen_std"	"nt_vga_med_frozen_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009285"	"softpc.new/host/src/nt_vga.c:1940"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007249"	"linkable:nt_vga_med_graph_big"	"nt_vga_med_graph_big"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009263"	"softpc.new/host/src/nt_vga.c:531"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007250"	"linkable:nt_vga_med_graph_huge"	"nt_vga_med_graph_huge"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009264"	"softpc.new/host/src/nt_vga.c:665"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007251"	"linkable:nt_vga_med_graph_std"	"nt_vga_med_graph_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009262"	"softpc.new/host/src/nt_vga.c:408"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007252"	"linkable:nt_vga_mono_graph_big"	"nt_vga_mono_graph_big"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009269"	"softpc.new/host/src/nt_vga.c:1213"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007253"	"linkable:nt_vga_mono_graph_huge"	"nt_vga_mono_graph_huge"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009270"	"softpc.new/host/src/nt_vga.c:1226"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007254"	"linkable:nt_vga_mono_graph_std"	"nt_vga_mono_graph_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009268"	"softpc.new/host/src/nt_vga.c:1202"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007255"	"linkable:nt_vga_mono_hi_graph_big"	"nt_vga_mono_hi_graph_big"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009275"	"softpc.new/host/src/nt_vga.c:1296"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007256"	"linkable:nt_vga_mono_hi_graph_huge"	"nt_vga_mono_hi_graph_huge"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009276"	"softpc.new/host/src/nt_vga.c:1308"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007257"	"linkable:nt_vga_mono_hi_graph_std"	"nt_vga_mono_hi_graph_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009274"	"softpc.new/host/src/nt_vga.c:1284"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007258"	"linkable:nt_vga_mono_med_graph_big"	"nt_vga_mono_med_graph_big"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009272"	"softpc.new/host/src/nt_vga.c:1255"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007259"	"linkable:nt_vga_mono_med_graph_huge"	"nt_vga_mono_med_graph_huge"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009273"	"softpc.new/host/src/nt_vga.c:1267"	"not-host-runtime"
"MVDM-ZERO-CANONICAL-GROUP-007260"	"linkable:nt_vga_mono_med_graph_std"	"nt_vga_mono_med_graph_std"	"linkable-original-symbol-family"	"singleton"	"1"	"0"	"MVDM-ZERO-DEFINITION-009271"	"softpc.new/host/src/nt_vga.c:1243"	"not-host-runtime"
