symbol	source_root	source_path	source_sha256	source_line	linkage	source	rebase_admission
"cmos_write"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/cmos_bis.c"	"e3b6710db5887ef77c5a38c881ebb4eeff2575db65e86a3468258aaa9293e1bd"	"178"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"ppi_get_switches"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/bios/reset.c"	"46e2507ad47182125ed59206780763c5dadf6ea752a43d4d946451de1024d90b"	"295"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"conv_com_reg"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/comms/com.c"	"64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3"	"2920"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"psaved"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/comms/com.c"	"64ea04370f3e5295b9cdc88d34d3badc03b68ec33ce23715c58a29085ba1e4b3"	"3135"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"file_back_trace"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/btrace.c"	"5a19a8cf73bd5c06c47bf3292189c8989bc970933bb4968336580f4be0028e3f"	"58"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"do_fp"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/dasm.c"	"6f90249d51eee69af65f59de138f915dc05af3a67b7bb529ea33596c04888b9b"	"2071"	"translation-unit-local"	"P10 seed body"	"confirmed original-boundary call"
"getNextToken"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/pigyoda.c"	"ede413a201fc0d4115b5bb0cd50aad3dd34d93a61dc734df49bfd464132ee7f2"	"256"	"externally-linkable"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
"tokenise_pig_cmd"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/pigyoda.c"	"ede413a201fc0d4115b5bb0cd50aad3dd34d93a61dc734df49bfd464132ee7f2"	"301"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"searchCommandTable"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/debug/pigyoda.c"	"ede413a201fc0d4115b5bb0cd50aad3dd34d93a61dc734df49bfd464132ee7f2"	"313"	"externally-linkable"	"P10 seed body"	"confirmed original-boundary call"
"rwvf_dump"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/base/disks/floppy_i.c"	"22b503047688d4d1f2d4b99ffba29e71612a165bbc9069976ce7a8b8d62ba042"	"71"	"translation-unit-local"	"directly reached during P12 expansion"	"confirmed expanded original-MVDM internal edge"
