candidate_id	caller_symbol	caller_source_path	caller_source_sha256	caller_source_line	callee_spelling	selected_definition_identity	call_argument_count	declaration_argument_counts	definition_argument_count	shape_basis	caller_condition_context	definition_condition_context	next_disposition
"MVDM-FIRST-REBASELINED-000006"	"TaskInfo"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"351"	"DumpTaskInfo"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|272"	"2"	"unresolved"	"2"	"same-translation-unit original definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000007"	"TaskInfo"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"356"	"DumpTaskInfo"	"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|272"	"2"	"unresolved"	"2"	"same-translation-unit original definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000184"	"ExpandConfigFiles"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"251"	"cmdCreateTempFile"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|99"	"2"	"2"	"2"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000207"	"ExpandConfigFiles"	"dos/command/cmdconf.c"	"32892c8c489bed9e4be8faed12e1bafbc6c580ba81a509425e8493de1e6ffc0a"	"530"	"cmdInitConsole"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000361"	"cmdReturnExitCode"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"625"	"cmdUpdateCurrentDirectories"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|778"	"1"	"1"	"1"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000362"	"cmdReturnExitCode"	"dos/command/cmdexec.c"	"98a941095d47ae73ef9731d389a433203c7184b0a016b62e24b202bb89f829d0"	"630"	"cmdCheckCopyForRedirection"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdredir.c|a403f15ba9ec33af85ab38aaa7c4fea301016c4bb09a1ccbd3adee71a07dcc49|20"	"1"	"1"	"1"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000391"	"cmdGetKbdLayout"	"dos/command/cmdkeyb.c"	"b945cd4a072b592211f6427ee526b2ca47be05ac6bef9a33956105749d899eba"	"248"	"cmdInitConsole"	"O:\repos.external\OpenNT\base\mvdm|dos/command/cmdmisc.c|1ca036932368a0d0bf1848b078cc80cd66e67a4cc46ad26a0c1b236fe40f4281|729"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000439"	"demFdiskInit"	"dos/dem/demdasd.c"	"7438f5d4df1803664e66f16b7464d719c8e4341d1d9c2e7721ce7184bdf08942"	"650"	"demGetPhysicalDriveType"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|220"	"1"	"1;1"	"1"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000472"	"demIoctlChangeable"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"116"	"demGetPhysicalDriveType"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|220"	"1"	"1;1"	"1"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000473"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"189"	"GetMediaId"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|619"	"2"	"2"	"2"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000488"	"demIoctlDiskGeneric"	"dos/dem/demioctl.c"	"6f480bf758d071b1fd2f76a137f892b77d1ea8d2d8ffb4690d395aedf5f733fa"	"371"	"demGetDiskFreeSpace"	"O:\repos.external\OpenNT\base\mvdm|dos/dem/demgset.c|19c5999308a479cc9c0fcb30d23e8301d9a835408417aa965b85523dfb8a1653|825"	"5"	"5"	"5"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000530"	"DpmiSegmentToSelector"	"dpmi32/buffer.c"	"6123c2acefa990be5bf87600a232a32feb1b7435ea0c2f346aa174b56ca37abc"	"290"	"DpmiSwitchToDosxStack"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|25"	"1"	"1"	"1"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000531"	"DpmiSegmentToSelector"	"dpmi32/buffer.c"	"6123c2acefa990be5bf87600a232a32feb1b7435ea0c2f346aa174b56ca37abc"	"334"	"DpmiSwitchFromDosxStack"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|57"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000532"	"DpmiDpmiInUse"	"dpmi32/dpmimscr.c"	"41494b9f44e53863d31527ca082dfc286f34e2b4cace556baf501274d3eba061"	"84"	"EnableIntHooks"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/dpmiint.c|d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa|1145"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000533"	"DpmiDpmiNoLongerInUse"	"dpmi32/dpmimscr.c"	"41494b9f44e53863d31527ca082dfc286f34e2b4cace556baf501274d3eba061"	"109"	"DisableIntHooks"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/dpmiint.c|d0607f266b8c6ee0556af13ff9260c7c07df8c0dc05ab25b37567430fb28a4aa|1179"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000555"	"NoTranslation"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"241"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000556"	"DisplayString"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"300"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000557"	"BufferedKeyboardInput"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"373"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000563"	"FindFileFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"521"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000564"	"MapFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"590"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000565"	"RenameFCB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"654"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000566"	"GetDriveData"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"692"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000567"	"CreatePSP"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"738"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000568"	"ParseFilename"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"809"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000569"	"GetDTA"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"848"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000570"	"SetDTA"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"894"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000571"	"GetDevParamBlock"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1055"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000572"	"ReturnESBX"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1093"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000573"	"GetSetCountry"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1149"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000574"	"MapASCIIZDSDX"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1193"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000576"	"ReadWriteFile"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1292"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000578"	"GetCurDir"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1430"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000580"	"AllocateMemoryBlock"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1469"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"ifdef:NT_ALLOC_DOS_MEM"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000582"	"FreeMemoryBlock"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1513"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"ifdef:NT_ALLOC_DOS_MEM"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000584"	"ResizeMemoryBlock"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1558"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"ifdef:NT_ALLOC_DOS_MEM"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000587"	"LoadExec"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1731"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000590"	"FindFirstFileHandle"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1826"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000593"	"FindNextFileHandle"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1880"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000594"	"SetPSP"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1932"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000595"	"GetPSP"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"1977"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000597"	"TranslateBPB"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2006"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000598"	"RenameFile"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2054"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000599"	"CreateTempFile"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2114"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000602"	"Func5Fh"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2293"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000607"	"ReturnDSSI"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2368"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000612"	"GetExtendedCountryInfo"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2453"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000613"	"MapASCIIZDSSI"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2495"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000614"	"MapDSDXLenCX"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2575"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
"MVDM-FIRST-REBASELINED-000615"	"IOCTLMap2Bytes"	"dpmi32/int21map.c"	"b0a8632ddb1bb0ed609115bcb113c7a43a0b042930cd281d333540089589c7e1"	"2628"	"DpmiSimulateIretCF"	"O:\repos.external\OpenNT\base\mvdm|dpmi32/stack.c|e7423b2c5b7c6108b55c262d1329e1b1d279850b65af1abfbc6ec3fcf2af0fe5|131"	"0"	"0"	"0"	"reachable original declaration and definition"	"unconditional"	"unconditional"	"source call/declaration/definition arity confirmed; retain conditional contexts for profile binding and admit zero-degree closure rebase"
