"file_id"	"package"	"current_path"	"target_component"	"opennt_path"	"opennt45_path"	"current_sha256"	"opennt_sha256"	"opennt45_sha256"	"identity"
"T288-IEUVDDEx-0055"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/i386/reflect.c"	"mvdm-host"	"base/mvdm/ieuvddex/i386/reflect.c"	"nt/private/mvdm/ieuvddex/i386/reflect.c"	"ab3d3db2571d39dba5e6df8ea51743ef29ddbcb23265a11c4b3e44a8cd5f72a2"	"ab3d3db2571d39dba5e6df8ea51743ef29ddbcb23265a11c4b3e44a8cd5f72a2"	"ab3d3db2571d39dba5e6df8ea51743ef29ddbcb23265a11c4b3e44a8cd5f72a2"	"exact both"
"T288-IEUVDDEx-0056"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/i386/regs.c"	"mvdm-host"	"base/mvdm/ieuvddex/i386/regs.c"	"nt/private/mvdm/ieuvddex/i386/regs.c"	"49618545c379ec52e42777962062534eabb6086943cca7e208dc6e04d4afce99"	"49618545c379ec52e42777962062534eabb6086943cca7e208dc6e04d4afce99"	"49618545c379ec52e42777962062534eabb6086943cca7e208dc6e04d4afce99"	"exact both"
"T288-IEUVDDEx-0057"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/i386/sources"	"mvdm-host"	"base/mvdm/ieuvddex/i386/sources"	"nt/private/mvdm/ieuvddex/i386/sources"	"ff2b196a612d536ea3254730f0ce0c0cc36575151d282e8cc088006c779b18ef"	"ff2b196a612d536ea3254730f0ce0c0cc36575151d282e8cc088006c779b18ef"	"ff2b196a612d536ea3254730f0ce0c0cc36575151d282e8cc088006c779b18ef"	"exact both"
"T288-IEUVDDEx-0058"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/i386/vdmtib.c"	"mvdm-host"	"base/mvdm/ieuvddex/i386/vdmtib.c"	"nt/private/mvdm/ieuvddex/i386/vdmtib.c"	"f4fb7e8955cacb599d9e360ab0370a4d987c00da9839b270972dc8a6108e4f07"	"f4fb7e8955cacb599d9e360ab0370a4d987c00da9839b270972dc8a6108e4f07"	"f4fb7e8955cacb599d9e360ab0370a4d987c00da9839b270972dc8a6108e4f07"	"exact both"
"T288-IEUVDDEx-0059"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/ieuvddex.h"	"mvdm-host"	"base/mvdm/ieuvddex/ieuvddex.h"	"nt/private/mvdm/ieuvddex/ieuvddex.h"	"17257eb303d196b6cd7449a7f2f63ff0d3f865df550c9d760f9d536b17bbcc37"	"17257eb303d196b6cd7449a7f2f63ff0d3f865df550c9d760f9d536b17bbcc37"	"17257eb303d196b6cd7449a7f2f63ff0d3f865df550c9d760f9d536b17bbcc37"	"exact both"
"T288-IEUVDDEx-0060"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/makefile"	"mvdm-host"	"base/mvdm/ieuvddex/makefile"	"nt/private/mvdm/ieuvddex/makefile"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"exact both"
"T288-IEUVDDEx-0061"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/mips/helpp.c"	"mvdm-host"	"base/mvdm/ieuvddex/mips/helpp.c"	"nt/private/mvdm/ieuvddex/mips/helpp.c"	"987252587bab9b164e668d55d781f79af31118c6724fce27f73bbcd3a69daf87"	"987252587bab9b164e668d55d781f79af31118c6724fce27f73bbcd3a69daf87"	"987252587bab9b164e668d55d781f79af31118c6724fce27f73bbcd3a69daf87"	"exact both"
"T288-IEUVDDEx-0062"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/mips/sources"	"mvdm-host"	"base/mvdm/ieuvddex/mips/sources"	"nt/private/mvdm/ieuvddex/mips/sources"	"95fc212046390f868794e00ae013e9ab1e75e39a47b4bb8184bd0e5e7b512c7f"	"95fc212046390f868794e00ae013e9ab1e75e39a47b4bb8184bd0e5e7b512c7f"	"95fc212046390f868794e00ae013e9ab1e75e39a47b4bb8184bd0e5e7b512c7f"	"exact both"
"T288-IEUVDDEx-0063"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/ntvdm.def"	"mvdm-host"	"base/mvdm/ieuvddex/ntvdm.def"	"nt/private/mvdm/ieuvddex/ntvdm.def"	"f56160b7111dbbf2f3b4283b0df29fa7cceabefa9b79c34c103e65c2a8103bff"	"f56160b7111dbbf2f3b4283b0df29fa7cceabefa9b79c34c103e65c2a8103bff"	"f56160b7111dbbf2f3b4283b0df29fa7cceabefa9b79c34c103e65c2a8103bff"	"exact both"
"T288-IEUVDDEx-0064"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/pmode.c"	"mvdm-host"	"base/mvdm/ieuvddex/pmode.c"	"nt/private/mvdm/ieuvddex/pmode.c"	"30187f0832c3ea0bc1933321fb247eec4b6d3d2a4749ad05375dd44409be0349"	"30187f0832c3ea0bc1933321fb247eec4b6d3d2a4749ad05375dd44409be0349"	"30187f0832c3ea0bc1933321fb247eec4b6d3d2a4749ad05375dd44409be0349"	"exact both"
"T288-IEUVDDEx-0065"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/ppc/helpp.c"	"mvdm-host"	"base/mvdm/ieuvddex/ppc/helpp.c"	"nt/private/mvdm/ieuvddex/ppc/helpp.c"	"987252587bab9b164e668d55d781f79af31118c6724fce27f73bbcd3a69daf87"	"987252587bab9b164e668d55d781f79af31118c6724fce27f73bbcd3a69daf87"	"987252587bab9b164e668d55d781f79af31118c6724fce27f73bbcd3a69daf87"	"exact both"
"T288-IEUVDDEx-0066"	"IEUVDDEx"	"src/mvdm-host/ieuvddex/ppc/sources"	"mvdm-host"	"base/mvdm/ieuvddex/ppc/sources"	"nt/private/mvdm/ieuvddex/ppc/sources"	"01fa076021a5e7603902a736ca60feef8cbb66626050b9012c945c35662765c2"	"01fa076021a5e7603902a736ca60feef8cbb66626050b9012c945c35662765c2"	"01fa076021a5e7603902a736ca60feef8cbb66626050b9012c945c35662765c2"	"exact both"
