"target_path"	"owner_root"	"transfer"	"package_root"	"selection"	"primary_path"	"primary_sha256"	"secondary_path"	"secondary_sha256"	"local_guest_path"	"local_guest_sha256"	"rationale"
"softpc.new/base/ccpu386/out.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\out.c"	"520bdebe72dcb263bf2a8312ec543b0414a0456e07959891bddb7d083b52b91b"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\out.c"	"520bdebe72dcb263bf2a8312ec543b0414a0456e07959891bddb7d083b52b91b"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/out.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\out.h"	"8e53e3fa7aca9e0fbebcea0fb5092213dcab4c7afe3055228cbaf33cc5179f11"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\out.h"	"8e53e3fa7aca9e0fbebcea0fb5092213dcab4c7afe3055228cbaf33cc5179f11"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/pigger_c.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\pigger_c.h"	"f8abfab1a7001e498a6ddb782c8b0831db138e8daad8f52ccfccdd4e2a7c297e"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\pigger_c.h"	"f8abfab1a7001e498a6ddb782c8b0831db138e8daad8f52ccfccdd4e2a7c297e"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/pop.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\pop.c"	"14767b253818e9da970b71f3bc29ce8b9237662a88970f1fbb4fcc73b97d112f"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\pop.c"	"14767b253818e9da970b71f3bc29ce8b9237662a88970f1fbb4fcc73b97d112f"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/pop.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\pop.h"	"e192bdb01ad432036e8ceac3e170e893ad81ba1f5c03046740cfd18417cf74fe"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\pop.h"	"e192bdb01ad432036e8ceac3e170e893ad81ba1f5c03046740cfd18417cf74fe"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/popa.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\popa.c"	"17ef6c6c1af74d46fb9cc2d4544b5deecde2ac422b919e37135f90e016fe694a"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\popa.c"	"17ef6c6c1af74d46fb9cc2d4544b5deecde2ac422b919e37135f90e016fe694a"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/popa.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\popa.h"	"531a94f3877472735658be95a1aab106c8628f21c174cdf7121c26754de76fc7"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\popa.h"	"531a94f3877472735658be95a1aab106c8628f21c174cdf7121c26754de76fc7"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/popf.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\popf.c"	"66c4fcaf0f3329dc6d7021a0ad8ba910fa775e84d63ad35404ee2a3134dd46c3"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\popf.c"	"66c4fcaf0f3329dc6d7021a0ad8ba910fa775e84d63ad35404ee2a3134dd46c3"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/popf.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\popf.h"	"34b50762c18f15b03594b413138fd87096b8241fe61ef00c27d2f6486f263813"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\popf.h"	"34b50762c18f15b03594b413138fd87096b8241fe61ef00c27d2f6486f263813"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/push.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\push.c"	"945a609da6d72f7b790c724eb4df8f12d7fe9ca2d390e55f9cfa19863150e50f"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\push.c"	"945a609da6d72f7b790c724eb4df8f12d7fe9ca2d390e55f9cfa19863150e50f"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/push.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\push.h"	"b0df05db109c8b2ec8aeb2ff0803a37783ffb51dd596a5c6c25c8e6c53eb7e56"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\push.h"	"b0df05db109c8b2ec8aeb2ff0803a37783ffb51dd596a5c6c25c8e6c53eb7e56"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/pusha.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\pusha.c"	"8525fee9d4ccb878b6fd09c474f986102b67beaddd2ba55b73f20bf5bd095716"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\pusha.c"	"8525fee9d4ccb878b6fd09c474f986102b67beaddd2ba55b73f20bf5bd095716"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/pusha.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\pusha.h"	"a7ba56279ed2ec7357e9bd565578dfd56731a7ad4d20c29eb20e767565843936"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\pusha.h"	"a7ba56279ed2ec7357e9bd565578dfd56731a7ad4d20c29eb20e767565843936"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/pushf.c"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\pushf.c"	"6012d65695cc0a05229d9591f0675fd45227f27a547560f7c7a177448ed28304"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\pushf.c"	"6012d65695cc0a05229d9591f0675fd45227f27a547560f7c7a177448ed28304"	""	""	"same bytes with dual provenance"
"softpc.new/base/ccpu386/pushf.h"	"opennt-mvdm-host"	"non-guest-host-supply-later-subtask"	"softpc.new"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\softpc.new\base\ccpu386\pushf.h"	"5473c0c6dc7d862aeb3ba27298f10eaa42abbca8607b3fc84fd4907d91dddb78"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\softpc.new\base\ccpu386\pushf.h"	"5473c0c6dc7d862aeb3ba27298f10eaa42abbca8607b3fc84fd4907d91dddb78"	""	""	"same bytes with dual provenance"
