source_root	source_path	source_sha256	source_line	symbol	signature_evidence	project_components	selected_identity_status
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"422"	"ln"	"ln( HANDLE CurrentProcess, HANDLE CurrentThread, DWORD CurrentPc, PWINDBG_EXTENSION_APIS ExtensionApis, LPSTR ArgumentString ) /*++ Routine Description: Arguments: CurrentProcess -- Supplies a handle to the current process CurrentThread -- Supplies a handle to the current thread CurrentPc -- Supplies the current program counter. (may be meaningless) ExtensionApis -- Supplies pointers to ntsd support routines ArgumentString -- Supplies the arguments passed to the command Return Value: None. --*/"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"460"	"r"	"r( IN HANDLE CurrentProcess, IN HANDLE CurrentThread, IN DWORD CurrentPc, IN PWINDBG_EXTENSION_APIS ExtensionApis, IN LPSTR ArgumentString ) /*++ Routine Description: Arguments: CurrentProcess -- Supplies a handle to the current process CurrentThread -- Supplies a handle to the current thread CurrentPc -- Supplies the current program counter. (may be meaningless) ExtensionApis -- Supplies pointers to ntsd support routines ArgumentString -- Supplies the arguments passed to the command Return Value: None. --*"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"498"	"ti"	"ti( IN HANDLE CurrentProcess, IN HANDLE CurrentThread, IN DWORD CurrentPc, IN PWINDBG_EXTENSION_APIS ExtensionApis, IN LPSTR ArgumentString ) /*++ Routine Description: Arguments: CurrentProcess -- Supplies a handle to the current process CurrentThread -- Supplies a handle to the current thread CurrentPc -- Supplies the current program counter. (may be meaningless) ExtensionApis -- Supplies pointers to ntsd support routines ArgumentString -- Supplies the arguments passed to the command Return Value: None. --"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"535"	"u"	"u( IN HANDLE CurrentProcess, IN HANDLE CurrentThread, IN DWORD CurrentPc, IN PWINDBG_EXTENSION_APIS ExtensionApis, IN LPSTR ArgumentString ) /*++ Routine Description: Arguments: CurrentProcess -- Supplies a handle to the current process CurrentThread -- Supplies a handle to the current thread CurrentPc -- Supplies the current program counter. (may be meaningless) ExtensionApis -- Supplies pointers to ntsd support routines ArgumentString -- Supplies the arguments passed to the command Return Value: None. --*"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"8"	"GetHeapBase"	"GetHeapBase( VOID )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"34"	"GetFileNameFromOwner"	"GetFileNameFromOwner( LPSTR filename, LPSTR OwnerName )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"GetSegmentOwnerInfo( HEAPENTRY *he )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"115"	"CheckGlobalHeap"	"CheckGlobalHeap( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"159"	"FindHeapEntry"	"FindHeapEntry( HEAPENTRY *he, BOOL bFindAny )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"269"	"DumpGHeap"	"DumpGHeap( VOID )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"26"	"DumpMemory"	"DumpMemory( UINT DumpType )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"113"	"DumpRegs"	"DumpRegs( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"184"	"ListModules"	"ListModules( )"	"mvdm-host"	"project-mirror-to-original-identity-resolved"
