caller_identity	caller_source_path	call_source_line	callee_spelling	selected_definition_identity	call_argument_count	definition_argument_count	header_argument_counts	target_package_in_caller_frontier	shape_basis	next_disposition
"O:\repos.external\OpenNT\base\mvdm|vdmredir/vrremote.c|f75d2984624cee1a77b6f5bf6a18fe4a7f38a059d32b0e711edb97d03a08c9b8|1245"	"vdmredir/vrremote.c"	"1512"	"VrpGetFieldSize"	"O:\repos.external\OpenNT\base\mvdm|vdmredir/vrremote.c|f75d2984624cee1a77b6f5bf6a18fe4a7f38a059d32b0e711edb97d03a08c9b8|1034"	"2"	"2"	"none"	"true"	"same-translation-unit original definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|552"	"wow16/ddeml/dmgdb.c"	"559"	"FarAllocMem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|430"	"2"	"2"	"2"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|430"	"wow16/ddeml/dmgmem.c"	"454"	"ProcessMemError"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|381"	"1"	"1"	"none"	"true"	"same-translation-unit original definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|430"	"wow16/ddeml/dmgmem.c"	"458"	"LogAlloc"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/heapwach.c|0b51f04c635c8ea08914ea98d67d4111d66c38f1200ac187b073d7a30682d813|19"	"4"	"4"	"4"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|89"	"wow16/ddeml/dmgdb.c"	"96"	"FarAllocMem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|430"	"2"	"2"	"2"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|743"	"wow16/ddeml/dmgdb.c"	"761"	"RemoveLstItem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|246"	"2"	"2"	"none"	"true"	"same-translation-unit original definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|572"	"wow16/ddeml/dmgdb.c"	"579"	"RemoveLstItem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|246"	"2"	"2"	"none"	"true"	"same-translation-unit original definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|572"	"wow16/ddeml/dmgdb.c"	"580"	"FarFreeMem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|479"	"1"	"1"	"1"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|110"	"wow16/ddeml/dmgdb.c"	"117"	"RemoveLstItem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|246"	"2"	"2"	"none"	"true"	"same-translation-unit original definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|110"	"wow16/ddeml/dmgdb.c"	"118"	"FarFreeMem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgmem.c|94dbd9d00a8d907fe86eeccaf066e880ff5763381527979d0b5f35ac9b90edb8|479"	"1"	"1"	"1"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/hdata.c|ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8|13"	"wow16/ddeml/hdata.c"	"36"	"AllocDDESel"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdde.c|e9b8d0ee1e58cbb1944171704c735d35d8de41a9d366b25db06094be1ce40505|156"	"3"	"3"	"3"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/hdata.c|ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8|13"	"wow16/ddeml/hdata.c"	"48"	"FindPileItem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|627"	"4"	"4"	"4"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/hdata.c|ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8|13"	"wow16/ddeml/hdata.c"	"53"	"AddPileItem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|688"	"3"	"3"	"3"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/hdata.c|ccb5dae526bf31363aae403a71e57ec90adb9d621700b3ba3677e3b38d5317a8|13"	"wow16/ddeml/hdata.c"	"66"	"AddPileItem"	"O:\repos.external\OpenNT\base\mvdm|wow16/ddeml/dmgdb.c|a1f7df43d0ce8cdef64271e778fd1e2d5d55ce7ce92df7e8508e1abb175e5b71|688"	"3"	"3"	"3"	"true"	"reachable original declaration and definition"	"confirmed original-MVDM internal edge; admit zero-degree rebase"
