target_path	role	source_edition	selected_source_path	alternate_source_paths	source_sha256	target_sha256	selection	import_action	product_boundary
"tools/opennt/tools16/getsize.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\getsize.exe"	""	"496882b8405fe1514ed4de4f77c6c7ac923420a4d086e94a83562f175028d1c3"	"496882b8405fe1514ed4de4f77c6c7ac923420a4d086e94a83562f175028d1c3"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/h2inc.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\h2inc.exe"	""	"fbb1e12752c4c0a7518725ee16f98e10151634bb3840eda9f1c136551649d189"	"fbb1e12752c4c0a7518725ee16f98e10151634bb3840eda9f1c136551649d189"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/implib.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\implib.exe"	""	"45dc9b73fb9a46e213825970cc4e998950bcf3564bfeefa81e51e2d64610d23c"	"45dc9b73fb9a46e213825970cc4e998950bcf3564bfeefa81e51e2d64610d23c"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/lib16.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\lib16.exe"	""	"dcadf5e7a21a72b9c98366ceae307dae529002f21279b0c697bdb7bdd2b0bc05"	"dcadf5e7a21a72b9c98366ceae307dae529002f21279b0c697bdb7bdd2b0bc05"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/link16.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\link16.exe"	""	"910ed26e6c8d72d64faa82a7eeabb6d5c002b347024c8f1d778fddbbb8ac1b00"	"910ed26e6c8d72d64faa82a7eeabb6d5c002b347024c8f1d778fddbbb8ac1b00"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/link_60.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\link_60.exe"	""	"910ed26e6c8d72d64faa82a7eeabb6d5c002b347024c8f1d778fddbbb8ac1b00"	"910ed26e6c8d72d64faa82a7eeabb6d5c002b347024c8f1d778fddbbb8ac1b00"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/masm.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\masm.exe"	""	"e54afaa9565e046cd862c29a015d685de43311acccf796469030e162ced6d00d"	"e54afaa9565e046cd862c29a015d685de43311acccf796469030e162ced6d00d"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/mkpublic.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\mkpublic.exe"	""	"5c4c7f6ca057a8ded485f6771ac27dfea689ee9a78632237a34b84e6f55aa1a0"	"5c4c7f6ca057a8ded485f6771ac27dfea689ee9a78632237a34b84e6f55aa1a0"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/nosrvbld.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\nosrvbld.exe"	""	"e49e569b7e0775bdd731bcf18cea1d85c29dabc1aa9a7285de51249387711665"	"e49e569b7e0775bdd731bcf18cea1d85c29dabc1aa9a7285de51249387711665"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/q23.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\q23.exe"	""	"08cce8cf3ab01061e22f7612561cd42a0e456d8b61f5bb832ba622786a9f9e8b"	"08cce8cf3ab01061e22f7612561cd42a0e456d8b61f5bb832ba622786a9f9e8b"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/rc16.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\rc16.exe"	""	"838455c5ee149d3bc2adf2a80840e5ac0aae138d93ac3d8876deee16e6833ad3"	"838455c5ee149d3bc2adf2a80840e5ac0aae138d93ac3d8876deee16e6833ad3"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/rcpp.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\rcpp.exe"	""	"42268cae70387e133ba0596b5b50f8878eba2b6cb85fd1c6f689b2430f7bf720"	"42268cae70387e133ba0596b5b50f8878eba2b6cb85fd1c6f689b2430f7bf720"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/rcqq.err"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT;OpenNT-4.5"	"O:\repos.external\OpenNT\base\mvdm\tools16\rcqq.err"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\rcqq.err"	"53c4d172d684080c45c1b94f5eeaa7c514ce0147aa2fd2d52cadc29a04671217"	"53c4d172d684080c45c1b94f5eeaa7c514ce0147aa2fd2d52cadc29a04671217"	"dual-identical"	"already-identical"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/rcqq.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\rcqq.exe"	""	"ad1c3ea071e9d85ebedcb4370d6e5b1134f92dfb2065558d06a898926b807ebe"	"ad1c3ea071e9d85ebedcb4370d6e5b1134f92dfb2065558d06a898926b807ebe"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/reloc.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\reloc.exe"	""	"300b58668d46c3281ef2c017409aa9300499155d6593a8a9552781d2d96cc2b3"	"300b58668d46c3281ef2c017409aa9300499155d6593a8a9552781d2d96cc2b3"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/stripdd.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\stripdd.exe"	""	"748a4d0f8bf3afd7cce867d452ea3c475c267c9a308856c15b872d5a813039d9"	"748a4d0f8bf3afd7cce867d452ea3c475c267c9a308856c15b872d5a813039d9"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
"tools/opennt/tools16/stripz.exe"	"historical-MVDM-16-bit-guest-build-tool-input"	"OpenNT-4.5"	"O:\repos.external\OpenNT-4.5\nt\private\mvdm\tools16\stripz.exe"	""	"6d424555368e2f61d201dd249532672a12164c35afb507a3e3556595511ea689"	"6d424555368e2f61d201dd249532672a12164c35afb507a3e3556595511ea689"	"OpenNT-4.5-only"	"copied-byte-exact"	"not a src component; excluded from app, host, guest-image, adapter, firmware, test and default build/link/runtime inputs"
