canonical_definition_id	raw_definition_id	source_path	source_sha256	source_line	linkage	raw_symbol	canonical_symbol	name_resolution	macro_definition_spelling	source_line_evidence	canonical_group_key	final_function_disposition	leaf_status
"MVDM-ZERO-CANONICAL-DEFINITION-000011"	"MVDM-ZERO-DEFINITION-000011"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"422"	"external-or-unspecified"	"ln"	"ln"	"raw-ctags-symbol"	""	"VOID ln(HANDLE CurrentProcess,HANDLE CurrentThread,DWORD CurrentPc,PWINDBG_EXTENSION_APIS ExtensionApis,LPSTR ArgumentString)"	"linkable:ln"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000012"	"MVDM-ZERO-DEFINITION-000012"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"460"	"external-or-unspecified"	"r"	"r"	"raw-ctags-symbol"	""	"VOID r(IN HANDLE CurrentProcess,IN HANDLE CurrentThread,IN DWORD CurrentPc,IN PWINDBG_EXTENSION_APIS ExtensionApis,IN LPSTR ArgumentString)"	"linkable:r"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000013"	"MVDM-ZERO-DEFINITION-000013"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"498"	"external-or-unspecified"	"ti"	"ti"	"raw-ctags-symbol"	""	"VOID ti(IN HANDLE CurrentProcess,IN HANDLE CurrentThread,IN DWORD CurrentPc,IN PWINDBG_EXTENSION_APIS ExtensionApis,IN LPSTR ArgumentString)"	"linkable:ti"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000014"	"MVDM-ZERO-DEFINITION-000014"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"535"	"external-or-unspecified"	"u"	"u"	"raw-ctags-symbol"	""	"VOID u(IN HANDLE CurrentProcess,IN HANDLE CurrentThread,IN DWORD CurrentPc,IN PWINDBG_EXTENSION_APIS ExtensionApis,IN LPSTR ArgumentString)"	"linkable:u"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000015"	"MVDM-ZERO-DEFINITION-000015"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"8"	"external-or-unspecified"	"GetHeapBase"	"GetHeapBase"	"raw-ctags-symbol"	""	"ULONG GetHeapBase(VOID)"	"linkable:GetHeapBase"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000016"	"MVDM-ZERO-DEFINITION-000016"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"34"	"external-or-unspecified"	"GetFileNameFromOwner"	"GetFileNameFromOwner"	"raw-ctags-symbol"	""	"void GetFileNameFromOwner(LPSTR filename,LPSTR OwnerName)"	"linkable:GetFileNameFromOwner"	"tool-only"	"leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000017"	"MVDM-ZERO-DEFINITION-000017"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"external-or-unspecified"	"GetSegmentOwnerInfo"	"GetSegmentOwnerInfo"	"raw-ctags-symbol"	""	"VOID GetSegmentOwnerInfo(HEAPENTRY * he)"	"linkable:GetSegmentOwnerInfo"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000018"	"MVDM-ZERO-DEFINITION-000018"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"115"	"external-or-unspecified"	"CheckGlobalHeap"	"CheckGlobalHeap"	"raw-ctags-symbol"	""	"BOOL CheckGlobalHeap()"	"linkable:CheckGlobalHeap"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000019"	"MVDM-ZERO-DEFINITION-000019"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"159"	"external-or-unspecified"	"FindHeapEntry"	"FindHeapEntry"	"raw-ctags-symbol"	""	"BOOL FindHeapEntry(HEAPENTRY * he,BOOL bFindAny)"	"linkable:FindHeapEntry"	"tool-only"	"non-leaf"
"MVDM-ZERO-CANONICAL-DEFINITION-000020"	"MVDM-ZERO-DEFINITION-000020"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"269"	"external-or-unspecified"	"DumpGHeap"	"DumpGHeap"	"raw-ctags-symbol"	""	"VOID DumpGHeap(VOID)"	"linkable:DumpGHeap"	"tool-only"	"non-leaf"
