"output_path"	"sha256"	"size_bytes"
"bin/winstub.exe"	"7fb9c1c6a87ae28d4db1b7abb8b51a651221986cdb3de59cb3e153c3425e847a"	"610"
"bin86/autoexec.nt"	"c2a23a5fb96682c33d99c13a57e6f3c1e10dfd3d263d972775a8c42bfb6a9a9b"	"438"
"bin86/config.nt"	"6ae1e74e78de00c0fa03124e6f947d977c71f253855ad2af979554074aea189a"	"2510"
"bin86/country.sys"	"ba263d4276024a904ece68fe193f8ca6da928dc9b35f8948f69d458dbb6ac3d0"	"17069"
"bin86/ctl3dv2.dll"	"3387135a5075439b9238d6c486b047d4dba8d9a6d1dad6bb74050347c70616db"	"27200"
"bin86/lanman.drv"	"60204f58744d38e9201ba958d45c483ce7989b216b98a67ce5aa355af37dec02"	"221600"
"bin86/lzexpand.dll"	"faf467ce496dd59655ccd91c26c8ea694551f54fa6bbf5f480f398fc54d12fdd"	"9936"
"bin86/netapi.dll"	"30a8ed7453779195ad196d2e0a024e05619688c6a101e6b5ae8c6647608bbb1a"	"108464"
"bin86/olecli.dll"	"f3a76752b6a257056ec43cd6d43da5a65244fc5c41f89e2162ef27634ece54b4"	"83456"
"bin86/pmspl.dll"	"432bb90629ceb7714c13f54147caa11ce77d7bdd3a168bba86195565b5fee456"	"27248"
"bin86/ver.dll"	"6d03cf1e31748149b6d34725e293c5ee4f3bd7ddebe526285fe7ba41a1d1f5b4"	"9008"
"bin86/winhelp.exe"	"47626dffe7795d7ee6ef9bfb057c398b37b21d397caa5ab0cad7e7dffb643170"	"256192"
"commdlg/COMMDLG.DLL"	"54a7981c5667bde19f0d703580d40a448a0bdec010feffa153004ef4870dc0d4"	"32784"
"drivers/comm/comm.drv"	"ee589c26791b66742f7b5e183a44c56a13053dc584b0dca3fcc20cd87bdca69e"	"10544"
"drivers/display/config.exe"	"17879142d347be4180e84360ee862095b7b0e88980c22894a9ce4fb011596f16"	"610"
"drivers/display/DISPLAY.EXE"	"943c2e3499e64157d11c81c85db7586e13af623044880876b390fbfcfac3cfb6"	"2112"
"drivers/display/vga.drv"	"943c2e3499e64157d11c81c85db7586e13af623044880876b390fbfcfac3cfb6"	"2112"
