one_ledger1_identity	caller_zero_identity	caller_physical_identity	caller_source_root	caller_source_path	caller_source_sha256	caller_definition_line	caller_symbol	caller_linkage	call_source_line	callee_spelling	call_form	zero_binding	zero_definition_candidates	next_action	boundary
"MVDM-HOST-ONE1-000011"	"MVDM-HOST-ZERO1-000015"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|8|GetHeapBase"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"8"	"GetHeapBase"	"externally-linkable"	"20"	"GetInfoFromSelector"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|428|GetInfoFromSelector;O:\repos.external\OpenNT\base\mvdm|vdmexts/util.c|572625bf57190ade673921f11a564c36e45f8458cbb5c63726b9d00d55e89702|395|GetInfoFromSelector"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000012"	"MVDM-HOST-ZERO1-000015"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|8|GetHeapBase"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"8"	"GetHeapBase"	"externally-linkable"	"27"	"GetIntelBase"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|226|GetIntelBase;O:\repos.external\OpenNT\base\mvdm|ieuvddex/pmode.c|30187f0832c3ea0bc1933321fb247eec4b6d3d2a4749ad05375dd44409be0349|256|GetIntelBase;O:\repos.external\OpenNT\base\mvdm|vdmexts/util.c|572625bf57190ade673921f11a564c36e45f8458cbb5c63726b9d00d55e89702|251|GetIntelBase"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000013"	"MVDM-HOST-ZERO1-000017"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"58"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000014"	"MVDM-HOST-ZERO1-000017"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"61"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000015"	"MVDM-HOST-ZERO1-000017"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"66"	"GetInfoFromSelector"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|428|GetInfoFromSelector;O:\repos.external\OpenNT\base\mvdm|vdmexts/util.c|572625bf57190ade673921f11a564c36e45f8458cbb5c63726b9d00d55e89702|395|GetInfoFromSelector"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000016"	"MVDM-HOST-ZERO1-000017"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"67"	"GetIntelBase"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|226|GetIntelBase;O:\repos.external\OpenNT\base\mvdm|ieuvddex/pmode.c|30187f0832c3ea0bc1933321fb247eec4b6d3d2a4749ad05375dd44409be0349|256|GetIntelBase;O:\repos.external\OpenNT\base\mvdm|vdmexts/util.c|572625bf57190ade673921f11a564c36e45f8458cbb5c63726b9d00d55e89702|251|GetIntelBase"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000017"	"MVDM-HOST-ZERO1-000017"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"69"	"ReadProcessMem"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|6|ReadProcessMem;O:\repos.external\OpenNT\base\mvdm|ieuvddex/procdep.c|33912500d91e1c6a59c7986f19c9e7b251371ee54f675407e1cbd90b8ad7910a|632|ReadProcessMem;O:\repos.external\OpenNT\base\mvdm|vdmexts/util.c|572625bf57190ade673921f11a564c36e45f8458cbb5c63726b9d00d55e89702|31|ReadProcessMem"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000018"	"MVDM-HOST-ZERO1-000017"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"80"	"ReadByteSafe"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000019"	"MVDM-HOST-ZERO1-000017"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"84"	"ReadProcessMem"	"direct-named-call"	"zero-ledger1-binding-ambiguous"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|6|ReadProcessMem;O:\repos.external\OpenNT\base\mvdm|ieuvddex/procdep.c|33912500d91e1c6a59c7986f19c9e7b251371ee54f675407e1cbd90b8ad7910a|632|ReadProcessMem;O:\repos.external\OpenNT\base\mvdm|vdmexts/util.c|572625bf57190ade673921f11a564c36e45f8458cbb5c63726b9d00d55e89702|31|ReadProcessMem"	"resolve physical zero-ledger1 binding before treating as a first-degree external function"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-000020"	"MVDM-HOST-ZERO1-000017"	"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43|GetSegmentOwnerInfo"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"92"	"_stricmp"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
