one_ledger1_identity	caller_zero_identity	caller_physical_identity	caller_source_root	caller_source_path	caller_source_sha256	caller_definition_line	caller_symbol	caller_linkage	call_source_line	callee_spelling	call_form	zero_binding	zero_definition_candidates	next_action	boundary
"MVDM-HOST-ONE1-001265"	"MVDM-HOST-ZERO1-000431"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|303|config"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"303"	"config"	"externally-linkable"	"345"	"SetConsoleTitle"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001266"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"607"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001267"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"612"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001268"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"615"	"host_fdisk_valid"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001269"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"617"	"host_fdisk_active"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001270"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"644"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001271"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"649"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001272"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"654"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001273"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"659"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001274"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"664"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001275"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"669"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001276"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"674"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001277"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"693"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001278"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"697"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001279"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"700"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001280"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"703"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001281"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"725"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001282"	"MVDM-HOST-ZERO1-000432"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|587|config_inquire"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"587"	"config_inquire"	"externally-linkable"	"752"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001283"	"MVDM-HOST-ZERO1-000439"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|817|host_runtime_init"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"817"	"host_runtime_init"	"externally-linkable"	"824"	"GetThreadContext"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001284"	"MVDM-HOST-ZERO1-000439"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|817|host_runtime_init"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"817"	"host_runtime_init"	"externally-linkable"	"824"	"GetCurrentThread"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001285"	"MVDM-HOST-ZERO1-000443"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|920|translate_to_value"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"920"	"translate_to_value"	"externally-linkable"	"925"	"strcmp"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001286"	"MVDM-HOST-ZERO1-000445"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|964|add_resource_node"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"964"	"add_resource_node"	"externally-linkable"	"966"	"always_trace0"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001287"	"MVDM-HOST-ZERO1-000446"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|981|build_data_table"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"981"	"build_data_table"	"externally-linkable"	"997"	"check_malloc"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001288"	"MVDM-HOST-ZERO1-000447"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1001|read_trapper_variables"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1001"	"read_trapper_variables"	"externally-linkable"	"1022"	"host_getenv"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001289"	"MVDM-HOST-ZERO1-000447"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1001|read_trapper_variables"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1001"	"read_trapper_variables"	"externally-linkable"	"1024"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001290"	"MVDM-HOST-ZERO1-000447"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1001|read_trapper_variables"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1001"	"read_trapper_variables"	"externally-linkable"	"1042"	"check_malloc"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001291"	"MVDM-HOST-ZERO1-000447"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1001|read_trapper_variables"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1001"	"read_trapper_variables"	"externally-linkable"	"1048"	"always_trace2"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001292"	"MVDM-HOST-ZERO1-000447"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1001|read_trapper_variables"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1001"	"read_trapper_variables"	"externally-linkable"	"1050"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001293"	"MVDM-HOST-ZERO1-000447"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1001|read_trapper_variables"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1001"	"read_trapper_variables"	"externally-linkable"	"1055"	"always_trace2"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001294"	"MVDM-HOST-ZERO1-000448"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1067|convert_arg"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1067"	"convert_arg"	"externally-linkable"	"1072"	"strcpy"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001295"	"MVDM-HOST-ZERO1-000448"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1067|convert_arg"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1067"	"convert_arg"	"externally-linkable"	"1080"	"atoi"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001296"	"MVDM-HOST-ZERO1-000450"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1135|read_profile_int"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1135"	"read_profile_int"	"externally-linkable"	"1150"	"RegOpenKeyEx"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001297"	"MVDM-HOST-ZERO1-000450"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1135|read_profile_int"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1135"	"read_profile_int"	"externally-linkable"	"1161"	"RegQueryValueEx"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001298"	"MVDM-HOST-ZERO1-000450"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1135|read_profile_int"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1135"	"read_profile_int"	"externally-linkable"	"1172"	"atoi"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001299"	"MVDM-HOST-ZERO1-000450"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1135|read_profile_int"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1135"	"read_profile_int"	"externally-linkable"	"1174"	"RegCloseKey"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001300"	"MVDM-HOST-ZERO1-000453"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1224|GetVDMSize"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1224"	"GetVDMSize"	"externally-linkable"	"1235"	"RegOpenKeyEx"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001301"	"MVDM-HOST-ZERO1-000453"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1224|GetVDMSize"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1224"	"GetVDMSize"	"externally-linkable"	"1250"	"RegQueryValueEx"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001302"	"MVDM-HOST-ZERO1-000453"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1224|GetVDMSize"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1224"	"GetVDMSize"	"externally-linkable"	"1256"	"RegCloseKey"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
"MVDM-HOST-ONE1-001303"	"MVDM-HOST-ZERO1-000453"	"O:\repos.external\OpenNT\base\mvdm|softpc.new/host/src/config.c|2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa|1224|GetVDMSize"	"O:\repos.external\OpenNT\base\mvdm"	"softpc.new/host/src/config.c"	"2a87d13d633e62b7bda2d982127feea19b20b5a779ff1e384966c2eb3ce6ddfa"	"1224"	"GetVDMSize"	"externally-linkable"	"1260"	"RegCloseKey"	"direct-named-call"	"outside-zero-ledger1"	""	"one-degree source/disposition audit; do not inspect callee body in this export"	"derived only from the caller body identified by zero-ledger1; no symbol-only merging, provider selection, second-degree traversal, or historical one-ledger input"
