"definition_id"	"file_id"	"definition_path"	"package_root"	"source_line"	"lexical_name"	"provenance"	"evidence"
"MVDM-DEF-00034"	"MVDM-FILE-0006"	"bde/bdestack.c"	"bde"	"611"	"WalkStackVerbose"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdestack.c:611"
"MVDM-DEF-00035"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"6"	"read_name"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdesym.c:6"
"MVDM-DEF-00036"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"29"	"FindExport"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdesym.c:29"
"MVDM-DEF-00037"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"235"	"read_symbol"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdesym.c:235"
"MVDM-DEF-00038"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"255"	"FindSymbol"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdesym.c:255"
"MVDM-DEF-00039"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"529"	"FindAddress"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdesym.c:529"
"MVDM-DEF-00040"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"781"	"ListNear"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdesym.c:781"
"MVDM-DEF-00041"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"833"	"EvaluateSymbol"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdesym.c:833"
"MVDM-DEF-00042"	"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"878"	"except"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdesym.c:878"
"MVDM-DEF-00043"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"6"	"ReadProcessMem"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:6"
"MVDM-DEF-00044"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"23"	"WriteProcessMem"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:23"
"MVDM-DEF-00045"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"42"	"GetRegValue"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:42"
"MVDM-DEF-00046"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"71"	"GetEspValue"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:71"
"MVDM-DEF-00047"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"103"	"GetContext"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:103"
"MVDM-DEF-00048"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"226"	"GetIntelBase"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:226"
"MVDM-DEF-00049"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"254"	"read_dword"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:254"
"MVDM-DEF-00050"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"277"	"read_word"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:277"
"MVDM-DEF-00051"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"300"	"read_byte"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:300"
"MVDM-DEF-00052"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"323"	"read_gnode"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:323"
"MVDM-DEF-00053"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"346"	"read_gnode32"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:346"
"MVDM-DEF-00054"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"370"	"GetDescriptorData"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:370"
"MVDM-DEF-00055"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"428"	"GetInfoFromSelector"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:428"
"MVDM-DEF-00056"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"528"	"SkipToNextWhiteSpace"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:528"
"MVDM-DEF-00057"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"544"	"GetNextToken"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:544"
"MVDM-DEF-00058"	"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"561"	"ParseIntelAddress"	"selected-c-or-cpp-source-lexical-definition"	"bde/bdeutil.c:561"
"MVDM-DEF-00059"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"34"	"Unassemble"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:34"
"MVDM-DEF-00060"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1396"	"AppendString"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1396"
"MVDM-DEF-00061"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1402"	"ExtraString"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1402"
"MVDM-DEF-00062"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1408"	"AppendChar"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1408"
"MVDM-DEF-00063"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1409"	"AppendNumber"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1409"
"MVDM-DEF-00064"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1411"	"ExtraChar"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1411"
"MVDM-DEF-00065"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1412"	"ExtraNumber"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1412"
"MVDM-DEF-00066"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1414"	"unassemble_one"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1414"
"MVDM-DEF-00067"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1497"	"safe_read_byte"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1497"
"MVDM-DEF-00068"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1518"	"safe_read_short"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1518"
"MVDM-DEF-00069"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1538"	"safe_read_long"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1538"
"MVDM-DEF-00070"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1559"	"Dreg1B"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1559"
"MVDM-DEF-00071"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1568"	"Dreg1W"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1568"
"MVDM-DEF-00072"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1580"	"Dreg2B"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1580"
"MVDM-DEF-00073"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1589"	"Dreg2W"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1589"
"MVDM-DEF-00074"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1601"	"DmodrmB"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1601"
"MVDM-DEF-00075"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1658"	"DmodrmW"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1658"
"MVDM-DEF-00076"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1728"	"DisplayAddress"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1728"
"MVDM-DEF-00077"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1837"	"DALreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1837"
"MVDM-DEF-00078"	"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"1844"	"DAHreg"	"selected-c-or-cpp-source-lexical-definition"	"bde/disasm.c:1844"
