table	instance	slot	typed_return	typed_arity	typed_parameters	source_symbol	generated_definition	disposition
"VideoVector"	"C_Video"	"26"	"IU32"	"0"	""	"S_0389_CiGetVideov7_bank_vid_copy_off_0000001a"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"27"	"IU8 *"	"0"	""	"S_0390_CiGetVideoscreen_ptr_0000001b"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"28"	"IU32"	"0"	""	"S_0391_CiGetVideorotate_0000001c"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"29"	"IU32"	"0"	""	"S_0392_CiGetVideocalc_data_xor_0000001d"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"30"	"IU32"	"0"	""	"S_0393_CiGetVideocalc_latch_xor_0000001e"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"31"	"IHP"	"0"	""	"S_0394_CiGetVideoread_byte_addr_0000001f"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"32"	"IU32"	"0"	""	"S_0395_CiGetVideov7_fg_latches_00000020"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"33"	"IHP"	"0"	""	"S_0396_CiGetVideoGC_regs_00000021"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"34"	"IU8"	"0"	""	"S_0397_CiGetVideolast_GC_index_00000022"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
"VideoVector"	"C_Video"	"35"	"IU8"	"0"	""	"S_0398_CiGetVideodither_00000023"	"sinit012.c: IUH IFN4(IUH , v1, IUH , v2 , IUH , v3 ,IUH , v4)"	"generated-typed-thunk-required"
