"target_path"	"source_path"	"source_sha256"	"size_bytes"	"action"
"cmd/command/fordata.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\fordata.asm"	"90544898349730457c124055dcd13c536866360f50a63fd3242c6af823f88d0b"	"1099"	"already-identical"
"cmd/command/help.skl"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\help.skl"	"6b288ce9dd07b0069aad897e9b11a58ee54a738a8ebee088fc552d3bba05f450"	"1176"	"already-identical"
"cmd/command/ifequ.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\ifequ.asm"	"658d692385d05f90d21f5212a4e3f4dd95717eefa9c6a2bd44ca2e97a4cda3be"	"468"	"already-identical"
"cmd/command/init.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\init.asm"	"3d69d0c82789ba5eb359794096ab215afe4f705cba35ca211948e93923e8fd16"	"62764"	"already-identical"
"cmd/command/iparse.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\iparse.asm"	"212d981c0338012fe96849a7ea569bea2172d267beeb57415d702d603e7d2e7e"	"1039"	"already-identical"
"cmd/command/loadhi.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\loadhi.asm"	"8e1f504aeccc73c3692bceafc42ea0a23859992607c6beab9af51e6d2eabec92"	"11450"	"already-identical"
"cmd/command/makefil0"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\makefil0"	"310936180e14b62152534b0f1f6d78f15153a21f80a9111211497befae32cb64"	"359"	"already-identical"
"cmd/command/makefile"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\makefile"	"cf9dde2533c39677ce19078dc9a04489ee4e97aad21672a3d8343e40d66cd2c4"	"20162"	"already-identical"
"cmd/command/parse2.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\parse2.asm"	"d885de9709a598f2e1b635986a7cedf6d2ae00321155cf4e465d360b114da283"	"13529"	"already-identical"
"cmd/command/path1.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\path1.asm"	"a6846cdf08eb4fa77b0e2a0184938e6cc3ac3d781b5c8c0465398ed9c59fa48b"	"16701"	"already-identical"
"cmd/command/path2.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\path2.asm"	"c230a86460f0677b0b51a1657428161f1c3f05d1857c6573cfc4132457c398d3"	"14204"	"already-identical"
"cmd/command/rdata.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\rdata.asm"	"350cb74da4d43313cf7ce0f9bdb957cefa5759ef32f439f8a83102f0162ed441"	"20034"	"already-identical"
"cmd/command/readme.txt"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\readme.txt"	"041a97e02c22441e6873f98a11dd64a44a1aa443c16d40b5b06e62a11953b631"	"5515"	"already-identical"
"cmd/command/resmsg.equ"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\resmsg.equ"	"e9944d068ccdc0d10b6fea4a387aa3a127388082ef05d07a146741eb2babb49a"	"659"	"already-identical"
"cmd/command/rucode.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\rucode.asm"	"245d7f359483d57345876b5a62f2f671a4ab271d4b1a3f8c0a44c0335052ee9f"	"26215"	"already-identical"
"cmd/command/stub.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\stub.asm"	"650b4c89fe06e647f461bd2f5b634c2cf5e850b772bde6ab902c96fbf862c7f4"	"8903"	"already-identical"
"cmd/command/tbatch.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tbatch.asm"	"5222e3c6e530e5daf381934c1e4ed7cc959640d3363e7de21cce5bc817f3d1ed"	"28368"	"already-identical"
"cmd/command/tbatch2.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tbatch2.asm"	"a347cc53c8db8d9e54e2783e510fe52d2d816f108ccb7005f47c5acc97e661e6"	"21983"	"already-identical"
"cmd/command/tcmd1a.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tcmd1a.asm"	"3e9ab435fa8d765aba25fa1705dccd465566a78d4be8cc2c56fc61f250ec5a21"	"17770"	"already-identical"
"cmd/command/tcmd1b.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tcmd1b.asm"	"f2414606b4b8a4f948bd04b9591466491a481f6f9a4c68b3edb05707d6aef538"	"21611"	"already-identical"
"cmd/command/tcmd2a.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tcmd2a.asm"	"e93964b8a359112199aaca42bade5548812bd683afeb03c5391d79d8f80f4c83"	"15929"	"already-identical"
"cmd/command/tcmd2b.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tcmd2b.asm"	"0f964c7b6aef2e04790c2b4f66cd5c559e9e05bea0a91ed2adaca08f28125280"	"19224"	"already-identical"
"cmd/command/tcode.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tcode.asm"	"223938eef6bc48314805cb3c35ebbd11cd6da10316ed09952c8f06cf9ca11377"	"50981"	"already-identical"
"cmd/command/tdata.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tdata.asm"	"46d7e67ecb0cd95a59a254420af02e6770a6b1fb9ada49a0da1c276ee344af78"	"30888"	"already-identical"
"cmd/command/tenv.asm"	"O:\repos.hobby\ntvdm64\src.old\opennt-guest\dos-v86\cmd\command\tenv.asm"	"bc67edd71988d695d6a679ae98dc07aee405fd9dbe319a4eee206fc710d7de85"	"14290"	"already-identical"
