zero_identity	membership_origin	source_root	source_path	source_sha256	source_line	symbol	linkage	inbound_evidence	body_parse_result	condition_context	condition_evidence	legality	reason
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|49"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"49"	"db"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|86"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"86"	"dw"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|123"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"123"	"dd"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|160"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"160"	"dg"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|197"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"197"	"dgh"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|235"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"235"	"es"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|275"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"275"	"help"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|299"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"299"	"k"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|340"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"340"	"kb"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|381"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"381"	"lm"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|422"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"422"	"ln"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|460"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"460"	"r"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|498"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"498"	"ti"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdecmds.c|ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e|535"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"535"	"u"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|8"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"8"	"GetHeapBase"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|34"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"34"	"GetFileNameFromOwner"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|43"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"43"	"GetSegmentOwnerInfo"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|115"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"115"	"CheckGlobalHeap"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|159"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"159"	"FindHeapEntry"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeheap.c|d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a|269"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"269"	"DumpGHeap"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|26"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"26"	"DumpMemory"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|113"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"113"	"DumpRegs"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|184"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"184"	"ListModules"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|221"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"221"	"DumpDescriptor"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef i386 | #endif"	"structurally-valid-conditional-context-recorded"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|272"	"confirmed original-boundary call"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"272"	"DumpTaskInfo"	"externally-linkable"	"confirmed-old-boundary:bde/bdemisc.c:351:MVDM-FIRST-REBASELINED-000006 | confirmed-old-boundary:bde/bdemisc.c:356:MVDM-FIRST-REBASELINED-000007"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdemisc.c|0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b|307"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"307"	"TaskInfo"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|6"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"6"	"dump_params"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|35"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"35"	"look_for_near"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|208"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"208"	"look_for_far"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|429"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"429"	"scan_for_frameless"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|476"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"476"	"stack_trace"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|566"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"566"	"WalkStack"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdestack.c|d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c|611"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"611"	"WalkStackVerbose"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|6"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"6"	"read_name"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|29"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"29"	"FindExport"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|235"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"235"	"read_symbol"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|255"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"255"	"FindSymbol"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef NEED_INDICES | #endif | #ifdef NEED_ABSOLUTES | #ifdef NEED_SYM4 | #endif | #ifdef NEED_INDICES | #endif | #endif | #if 0 | #endif | #ifdef NEED_INDICES | #endif"	"structurally-valid-conditional-context-recorded"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|529"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"529"	"FindAddress"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef NEED_INDICES | #endif | #ifdef NEED_INDICES | #endif | #if 0 | #endif | #if 0 | #endif"	"structurally-valid-conditional-context-recorded"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|781"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"781"	"ListNear"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdesym.c|c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096|833"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"833"	"EvaluateSymbol"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|6"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"6"	"ReadProcessMem"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|23"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"23"	"WriteProcessMem"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|42"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"42"	"GetRegValue"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|71"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"71"	"GetEspValue"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|103"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"103"	"GetContext"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef i386    // | #else           // | #endif"	"structurally-valid-conditional-context-recorded"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|226"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"226"	"GetIntelBase"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifndef i386 | #else | #endif"	"structurally-valid-conditional-context-recorded"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|254"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"254"	"read_dword"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|277"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"277"	"read_word"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|300"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"300"	"read_byte"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|323"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"323"	"read_gnode"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|346"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"346"	"read_gnode32"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|370"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"370"	"GetDescriptorData"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef i386 | #else | #endif"	"structurally-valid-conditional-context-recorded"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|428"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"428"	"GetInfoFromSelector"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"conditional-directives-recorded"	"#ifdef i386 | #endif | #ifdef i386 | #endif | #ifdef i386 | #endif"	"structurally-valid-conditional-context-recorded"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|528"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"528"	"SkipToNextWhiteSpace"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|544"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"544"	"GetNextToken"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/bdeutil.c|0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b|561"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"561"	"ParseIntelAddress"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
"O:\repos.external\OpenNT\base\mvdm|bde/disasm.c|8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417|34"	"selected-mvdm-host-root"	"O:\repos.external\OpenNT\base\mvdm"	"bde/disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"34"	"Unassemble"	"externally-linkable"	"root:mvdm-host-root"	"body-parsed"	"unconditional"	""	"structurally-valid"	""
