resolution_id	one_ledger1_identity	callee_spelling	candidate_identity	definition_source_root	definition_source_path	definition_source_sha256	definition_source_line	definition_symbol	definition_linkage	source_location	disposition
"MVDM-HOST-ONE1-RESOLUTION-001875"	"MVDM-HOST-ONE1-002035"	"CloseHandle"	"O:\repos.external\OpenNT|admin/netui/common/src/lmobj/lmobj/uintlsa.cxx|75772ab5b640efb2724d05aedbf8cca73662115282ef6b0f87452268aa3717ea|479|CloseHandle"	"O:\repos.external\OpenNT"	"admin/netui/common/src/lmobj/lmobj/uintlsa.cxx"	"75772ab5b640efb2724d05aedbf8cca73662115282ef6b0f87452268aa3717ea"	"479"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001875"	"MVDM-HOST-ONE1-002035"	"CloseHandle"	"O:\repos.external\OpenNT|admin/netui/common/src/lmobj/lmobj/uintsam.cxx|cce4377ceb36a04de87bb38668549b08bdc855de57a6de9111e797e098aa223e|365|CloseHandle"	"O:\repos.external\OpenNT"	"admin/netui/common/src/lmobj/lmobj/uintsam.cxx"	"cce4377ceb36a04de87bb38668549b08bdc855de57a6de9111e797e098aa223e"	"365"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001875"	"MVDM-HOST-ONE1-002035"	"CloseHandle"	"O:\repos.external\OpenNT|base/mvdm/wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361|CloseHandle"	"O:\repos.external\OpenNT"	"base/mvdm/wow16/mmsystem/mmsex.c"	"93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196"	"361"	"CloseHandle"	"externally-linkable"	"selected-MVDM-or-extracted-SoftPC-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001875"	"MVDM-HOST-ONE1-002035"	"CloseHandle"	"O:\repos.external\OpenNT|base/win32/client/handle.c|1f2eb69cc771af45fa689101dcde0c38131db6ffa5801c495ad0ddba491017c8|24|CloseHandle"	"O:\repos.external\OpenNT"	"base/win32/client/handle.c"	"1f2eb69cc771af45fa689101dcde0c38131db6ffa5801c495ad0ddba491017c8"	"24"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001876"	"MVDM-HOST-ONE1-002036"	"malloc"	"O:\repos.external\OpenNT|base/boot/veneer/vrmalloc.c|55f339b08b88663ba21be91537ddc47fc564e4036b82756adf603890a82fc06e|114|malloc"	"O:\repos.external\OpenNT"	"base/boot/veneer/vrmalloc.c"	"55f339b08b88663ba21be91537ddc47fc564e4036b82756adf603890a82fc06e"	"114"	"malloc"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001876"	"MVDM-HOST-ONE1-002036"	"malloc"	"O:\repos.external\OpenNT|base/crts/crtw32/misc/dbgheap.c|385b134122869b2f5416efde75bd375b0887fd369a00de7c1249d40108fb73f7|160|malloc"	"O:\repos.external\OpenNT"	"base/crts/crtw32/misc/dbgheap.c"	"385b134122869b2f5416efde75bd375b0887fd369a00de7c1249d40108fb73f7"	"160"	"malloc"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001877"	"MVDM-HOST-ONE1-002037"	"CloseHandle"	"O:\repos.external\OpenNT|admin/netui/common/src/lmobj/lmobj/uintlsa.cxx|75772ab5b640efb2724d05aedbf8cca73662115282ef6b0f87452268aa3717ea|479|CloseHandle"	"O:\repos.external\OpenNT"	"admin/netui/common/src/lmobj/lmobj/uintlsa.cxx"	"75772ab5b640efb2724d05aedbf8cca73662115282ef6b0f87452268aa3717ea"	"479"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001877"	"MVDM-HOST-ONE1-002037"	"CloseHandle"	"O:\repos.external\OpenNT|admin/netui/common/src/lmobj/lmobj/uintsam.cxx|cce4377ceb36a04de87bb38668549b08bdc855de57a6de9111e797e098aa223e|365|CloseHandle"	"O:\repos.external\OpenNT"	"admin/netui/common/src/lmobj/lmobj/uintsam.cxx"	"cce4377ceb36a04de87bb38668549b08bdc855de57a6de9111e797e098aa223e"	"365"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001877"	"MVDM-HOST-ONE1-002037"	"CloseHandle"	"O:\repos.external\OpenNT|base/mvdm/wow16/mmsystem/mmsex.c|93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196|361|CloseHandle"	"O:\repos.external\OpenNT"	"base/mvdm/wow16/mmsystem/mmsex.c"	"93afa83a4fa5993db93888b4dedf0adf8908eab0e39d4c23e49ba31798cc6196"	"361"	"CloseHandle"	"externally-linkable"	"selected-MVDM-or-extracted-SoftPC-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001877"	"MVDM-HOST-ONE1-002037"	"CloseHandle"	"O:\repos.external\OpenNT|base/win32/client/handle.c|1f2eb69cc771af45fa689101dcde0c38131db6ffa5801c495ad0ddba491017c8|24|CloseHandle"	"O:\repos.external\OpenNT"	"base/win32/client/handle.c"	"1f2eb69cc771af45fa689101dcde0c38131db6ffa5801c495ad0ddba491017c8"	"24"	"CloseHandle"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
"MVDM-HOST-ONE1-RESOLUTION-001878"	"MVDM-HOST-ONE1-002038"	"ReadFile"	"O:\repos.external\OpenNT|base/win32/client/filehops.c|25c6a35fcab7e20b8c60956e8706aaeccbc3db198985224e9ba1635beb9a5ad0|194|ReadFile"	"O:\repos.external\OpenNT"	"base/win32/client/filehops.c"	"25c6a35fcab7e20b8c60956e8706aaeccbc3db198985224e9ba1635beb9a5ad0"	"194"	"ReadFile"	"externally-linkable"	"non-MVDM-OpenNT-source"	"physical original source definition candidate; linkage/declaration/package selection remains pending"
