"worklist_id"	"declaration_id"	"lexical_name"	"declaration_path"	"declaration_package"	"review_family"	"caller_count"	"caller_packages"	"caller_evidence"	"final_owner"	"recovery_state"	"evidence"
"MVDM-WORK-00013"	"MVDM-DECL-03451"	"check_D"	"softpc.new/base/inc/yoda.h"	"softpc.new"	"adapter-softpc-review"	"7"	"softpc.new"	"softpc.new/base/ccpu386/c_page.c:563; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:599; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:629; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:659; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:781; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:810; softpc.new/base/inc/yoda.h:44; softpc.new/base/ccpu386/c_page.c:840; softpc.new/base/inc/yoda.h:44"	"unreviewed"	"unreviewed"	"softpc.new/base/inc/yoda.h:44"
"MVDM-WORK-00014"	"MVDM-DECL-03606"	"do_setSF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1052; softpc.new/host/inc/host_cpu.h:484; softpc.new/host/src/nt_cprgs.c:1583; softpc.new/host/inc/host_cpu.h:484"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:484"
"MVDM-WORK-00015"	"MVDM-DECL-03607"	"do_setOF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1053; softpc.new/host/inc/host_cpu.h:485; softpc.new/host/src/nt_cprgs.c:1601; softpc.new/host/inc/host_cpu.h:485"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:485"
"MVDM-WORK-00016"	"MVDM-DECL-03608"	"do_setPF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1054; softpc.new/host/inc/host_cpu.h:486; softpc.new/host/src/nt_cprgs.c:1560; softpc.new/host/inc/host_cpu.h:486"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:486"
"MVDM-WORK-00017"	"MVDM-DECL-03609"	"do_setZF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1055; softpc.new/host/inc/host_cpu.h:487; softpc.new/host/src/nt_cprgs.c:1592; softpc.new/host/inc/host_cpu.h:487"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:487"
"MVDM-WORK-00018"	"MVDM-DECL-03610"	"do_setCF"	"softpc.new/host/inc/host_cpu.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/nt_cprgs.c:1056; softpc.new/host/inc/host_cpu.h:488; softpc.new/host/src/nt_cprgs.c:1610; softpc.new/host/inc/host_cpu.h:488"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/host_cpu.h:488"
"MVDM-WORK-00019"	"MVDM-DECL-04556"	"outsb"	"softpc.new/host/inc/nt_mon.h"	"softpc.new"	"adapter-softpc-review"	"1"	"v86"	"v86/monitor/i386/monitor.c:528; softpc.new/host/inc/nt_mon.h:41"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_mon.h:41"
"MVDM-WORK-00020"	"MVDM-DECL-04557"	"insb"	"softpc.new/host/inc/nt_mon.h"	"softpc.new"	"adapter-softpc-review"	"1"	"v86"	"v86/monitor/i386/monitor.c:522; softpc.new/host/inc/nt_mon.h:42"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_mon.h:42"
"MVDM-WORK-00021"	"MVDM-DECL-04558"	"outsw"	"softpc.new/host/inc/nt_mon.h"	"softpc.new"	"adapter-softpc-review"	"1"	"v86"	"v86/monitor/i386/monitor.c:542; softpc.new/host/inc/nt_mon.h:43"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_mon.h:43"
"MVDM-WORK-00022"	"MVDM-DECL-04559"	"insw"	"softpc.new/host/inc/nt_mon.h"	"softpc.new"	"adapter-softpc-review"	"1"	"v86"	"v86/monitor/i386/monitor.c:536; softpc.new/host/inc/nt_mon.h:44"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/nt_mon.h:44"
"MVDM-WORK-00023"	"MVDM-DECL-04623"	"sim32_effective_addr"	"softpc.new/host/inc/sim32.h"	"softpc.new"	"adapter-softpc-review"	"2"	"softpc.new"	"softpc.new/host/src/sim32.c:50; softpc.new/host/inc/sim32.h:92; softpc.new/host/src/sim32.c:135; softpc.new/host/inc/sim32.h:92"	"unreviewed"	"unreviewed"	"softpc.new/host/inc/sim32.h:92"
"MVDM-WORK-00024"	"MVDM-DECL-04654"	"ReadMem"	"vdmexts/vdmexts.h"	"vdmexts"	"adapter-debugger-review"	"1"	"wow32"	"wow32/debug.c:83; vdmexts/vdmexts.h:30"	"unreviewed"	"unreviewed"	"vdmexts/vdmexts.h:30"
"MVDM-WORK-00025"	"MVDM-DECL-04655"	"WriteMem"	"vdmexts/vdmexts.h"	"vdmexts"	"adapter-debugger-review"	"1"	"wow32"	"wow32/debug.c:91; vdmexts/vdmexts.h:31"	"unreviewed"	"unreviewed"	"vdmexts/vdmexts.h:31"
